id,description,type,d,w,a,iz,iy,e,poisson_ratio,g,j,fc_n,fc_factor,fc_e,fy_n,fy_factor,fy_e,slab_depth,b_eff,Av,S,As,As_d,d_b,n_b,Es,clear_cover,lambda,l_d_min,l_d_hook_min,l_d_hook_ext_min,l_s_min,row,row_prime
1,rigid link connecting frames,truss,1,1,99999,1,1,1000000,0.15,99999000,1,9999999,1,9999999,9999999,1,9999999,0,0,1,1,1,1,1,2,29000000,0,1,999,999,999,999,1,1
2,rigid joint,beam,1,1,1000,176859,99999,99999000,0.15,99999000,99999,9999999,1,9999999,9999999,1,9999999,0,0,1,1,1,1,1,2,29000000,0,1,999,999,999,999,1,1
3,first story,wall,1,12000,14400,108000000,172800,3605000,0.15,1567000,108172800,4000,1.5,6000,40000,1.25,50000,0,0,0.33,12,"[4.16, 4.16, 4.16]","[1.5, 12, 22.5]","[1,1,1]","[2,2,2]",29000000,1.5,1,999,999,999,999,0.001,0.001
4,2nd story,wall,1,7500,30720,1342177280,72000,3605000,0.15,1567000,1342249280,4000,1.5,6000,40000,1.25,50000,0,0,0.33,12,"[4.16, 4.16, 4.16]","[1.5, 12, 22.5]","[1,1,1]","[2,2,2]",29000000,1.5,1,999,999,999,999,0.001,0.001
5,up stories,wall,1,7000,28672,1252698795,58538.66667,3605000,0.15,1567000,1252757333,4000,1.5,6000,40000,1.25,50000,0,0,0.33,12,"[4.16, 4.16, 4.16]","[1.5, 12, 22.5]","[1,1,1]","[2,2,2]",29000000,1.5,1,999,999,999,999,0.001,0.001
6,ASCE 41 1st story int columns,column,24,24,576,11059.2,10229.76,4936344.802,0.15,2146236.87,55296,5000,1.5,7500,40000,1.25,50000,0,0,0.33,12,"[3, 2, 3]","[1.5, 12, 22.5]","[1.128, 1.128, 1.128]","[3, 2, 3]",29000000,1.5,1,999,"[46, 46, 46]",999,999,0.005208333,0.005208333
7,ASCE 41 2nd story int columns,column,24,24,576,10229.76,9400.32,4936344.802,0.15,2146236.87,55296,5000,1.5,7500,40000,1.25,50000,0,0,0.73,2,"[3, 2, 3]","[1.5, 12, 22.5]","[1.128, 1.128, 1.128]","[3, 2, 3]",29000000,1.5,1,"[32, 32, 32]","[46, 46, 46]",999,"[32, 32, 32]",0.005208333,0.005208333
8,ASCE 41 3rd story int columns,column,24,24,576,9123.84,8570.88,4936344.802,0.15,2146236.87,55296,5000,1.5,7500,40000,1.25,50000,0,0,0.73,2,"[3, 2, 3]","[1.5, 12, 22.5]","[1.128, 1.128, 1.128]","[3, 2, 3]",29000000,1.5,1,"[32, 32, 32]","[46, 46, 46]",999,"[32, 32, 32]",0.005208333,0.005208333
9,ASCE 41 typ int story columns,column,24,24,576,8294.4,8294.4,4936344.802,0.15,2146236.87,55296,5000,1.5,7500,40000,1.25,50000,0,0,0.73,2,"[3, 2, 3]","[1.5, 12, 22.5]","[1.128, 1.128, 1.128]","[3, 2, 3]",29000000,1.5,1,"[32, 32, 32]","[46, 46, 46]",999,"[32, 32, 32]",0.005208333,0.005208333
10,ASCE 41 1st story ext columns,column,24,24,576,8294.4,8294.4,4936344.802,0.15,2146236.87,55296,5000,1.5,7500,40000,1.25,50000,0,0,0.33,12,"[4.68, 3.12, 3.12, 4.68]","[1.5, 8.5, 15.5, 22.5]","[1.41, 1.41, 1.41, 1.41]","[3, 2, 2, 3]",29000000,1.5,1,"[999, 999, 999, 999]","[46, 46, 46, 46]",999,"[999, 999, 999, 999]",0.008125,0.008125
